suhu,oksigen_terlarut,ph,amonia,berat_mean,age,pertumbuhan_berat
23.80859375,3.299375,7.063296875,0.492454375,85.89,60,3.93
24.375,1.1125,7.01581666666667,0.465086666666667,93.75,62,3.90000000000001
24.3125,2.59216666666667,7.01052,0.49637,97.65,63,3.91999999999999
23.984375,1.51825,6.9991725,0.525355,101.57,64,2.92
24.1875,1.808,6.98556,2.26339,104.49,65,4.17
25.311773255814,1.49327906976744,6.93630686046512,1.15039290697674,121.17,69,4.03
25.015625,2.4375,6.941295,0.5317725,125.2,70,3.35000000000001
25.2916666666667,1.356,6.91595,0.478226666666667,128.55,71,3.34999999999999
24.9639423076923,1.37619230769231,6.91344961538462,0.476015769230769,131.9,72,3.34999999999999
24.8125,1.4555,6.894765,0.43294,135.25,73,3.34999999999999
25.0408653846154,1.53278846153846,6.89651576923077,3.29143057692308,138.6,74,3.35000000000001
24.1326923076923,1.33566153846154,6.88380384615385,4.59186769230769,145.3,76,3.34999999999999
24.3169642857143,1.19064285714286,6.86688142857143,0.481579285714286,148.65,77,3.34999999999999
24.1708603896104,1.26484415584416,6.85476493506494,7.85069681818182,152,78,3.34999999999999
25.3964720194647,7.17765693430657,8.4065885109489,0.38,3.36,0,0.7
25.9300595238095,8.02617095238095,8.39548152857143,0.38,4.06,1,0.7
25.307929969104,6.714,8.4054468177137,0.38,4.76,2,0.7
25.071059919436,9.23352165156093,8.33421394763343,0.38,5.46,3,0.7
24.5181005110732,6.0529101362862,8.32686497870528,0.38,6.16,4,0.7
24.3190085592011,6.31934807417974,8.23857727532097,0.38,6.86,5,0.699999999999999
24.710627753304,5.65784801762114,8.18024433920705,0.38,7.56,6,0.7
24.9528985507246,8.69898260869565,7.95099939130435,0.38,9.66,9,0.699999999999999
24.5486284846319,5.84678556111508,7.91966855611151,0.38,10.36,10,0.700000000000001
24.4382587253414,6.36493171471927,7.87396892261002,0.38,11.06,11,0.699999999999999
25.0026260504202,7.04822521008403,7.82136863865546,0.38,11.76,12,0.700000000000001
24.9389013452915,6.24748878923767,7.80502173393124,0.38,12.46,13,0.639999999999999
24.5835772833724,3.40406557377049,7.76759676814988,0.38,13.1,14,0.890000000000001
23.9395576131687,6.76265843621399,7.72524703703704,0.38,13.99,15,0.890000000000001
24.625,7.666,7.72095,153073904,14.88,16,0.889999999999999
24.5489130434783,6.29260869565217,7.68522217391304,0.38,15.77,17,0.890000000000001
24.7271634615385,7.15376923076923,7.64482769230769,0.38,16.66,18,0.890000000000001
25.900641025641,7.15369230769231,7.62538717948718,0.38,17.55,19,0.890000000000001
25.15625,6.50028846153846,7.61112730769231,0.38,18.44,20,0.889999999999997
24.590811965812,6.75967521367521,7.58220641025641,0.38,19.33,21,0.890000000000001
25.1950549450549,5.02662637362637,7.56925373626374,138.535768461539,20.22,22,0.890000000000001
24.2371926229508,3.10918032786885,7.56291330601093,0.38,21.11,23,0.890000000000001
23.6186131386861,5.00711678832117,7.55305627737226,0.38,22,24,0.890000000000001
25.7997159090909,5.15402272727273,7.51698068181818,118.651082954546,22.89,25,0.890000000000001
24.56103515625,5.40240625,7.51582,87.4379859375,23.78,26,0.890000000000001
23.8878205128205,5.61187179487179,7.52225769230769,129.40193025641,24.67,27,0.829999999999998
24.7054777992278,5.67376061776062,7.47449640926641,0.38,25.5,28,1.5
24.6673481308411,5.32923831775701,7.48356322429907,0.38,27,29,1.5
24.7318597560976,4.6967243902439,7.44586712195122,0.38,28.5,30,1.5
24.5802613941019,2.40663806970509,7.43679863270777,0.38,30,31,1.5
24.6524621212121,1.33557575757576,7.43901878787879,0.38,31.5,32,1.5
24.4375,0.811,7.423615,0.38,33,33,1.5
24.1716804979253,5.15517012448133,7.41086466804979,63.7657682365145,34.5,34,1.5
24.3787790697674,4.83517209302326,7.3987339379845,16.4784833333333,36,35,1.5
24.3815331010453,5.14350522648084,7.39113599303136,12.654868873403,37.5,36,1.5
24.1496056241427,5.06168724279835,7.38387781893004,11.8958941838134,39,37,1.5
24.09296679198,4.69599122807018,7.36375808270677,42.7857378320802,40.5,38,1.5
24.5581793802145,4.97997497020262,7.33845562574493,71.9465025506556,42,39,1.5
24.6613063660478,3.91932714412025,7.3027534305924,53.4450334659593,43.5,40,1.5
24.9276960784314,8.39811764705882,7.31596058823529,33.4283749019608,45,41,1.5
24.4375,7.874,7.27759333333333,4.46906666666667,46.5,42,1.46
24.5625,5.519,7.27608,0.12775,50.88,45,1.46
25.28125,10.464,7.251115,1.14536,52.34,46,1.45999999999999
24.526611328125,4.88372265625,7.23753541666667,0.435371731770833,53.8,47,1.46
24.0833333333333,5.06233333333333,7.23069,0.469123333333333,55.26,48,1.46
24.5034213569776,4.42109483423284,7.16833023130301,0.376114271395528,56.72,49,1.46
24.018327373212,6.83100975292588,7.16057594278283,0.483077171651495,58.18,50,1.46
24.501213592233,3.1907360988526,7.1406486054722,0.474317387466902,59.64,51,1.37
23.8755525914634,4.91637469512195,7.13258053353658,0.414731176829268,61.01,52,1.55
23.6573726892222,3.85138751307987,7.12829261597489,0.455513160097663,62.56,53,1.45999999999999
23.3443339722089,3.41840009583134,7.12055439865836,0.385224331576425,64.02,54,1.46000000000001
23.875542467452,4.38170551766894,7.10132550526968,0.475623738375697,65.48,55,1.52
24.3789138153648,5.33966752743706,7.08951370561653,0.503327843770174,67,56,3.59999999999999
24.8355263157895,3.27925,7.07282171052632,0.460169078947368,70.6,57,3.60000000000001
24.1041666666667,2.69422222222222,7.07083173611111,0.517641180555556,74.2,58,3.59999999999999
23.5268595041322,2.70694214876033,7.07090818181818,0.499870826446281,77.8,59,3.60000000000001
23.775,2.75257142857143,7.060654,0.492469142857143,81.4,60,3.59999999999999
24.3526785714286,2.02328571428571,7.01895142857143,0.526636428571429,88.6,62,3.60000000000001
24.1153846153846,2.16346153846154,7.01069692307692,0.571285384615385,92.2,63,3.59999999999999
23.9921875,2.769875,6.99860625,0.58670375,95.8,64,3.60000000000001
24.1875,1.808,6.98556,2.26339,99.4,65,3.6
25.6666666666667,1.60666666666667,6.92048666666667,0.675426666666667,113.8,69,3.60000000000001
24.9545454545454,1.74081818181818,6.93768454545454,0.449766363636364,117.4,70,3.09999999999999
